"","Player","Nation","Age","Pos","Born","Squad","Comp","MP","Starts","Min","90s","CrdY","CrdR","npxG+xAG","G+A.1","G-PK.1","G+A-PK","xG+xAG","Gls.y","Sh.x","SoT%","SoT/90","G/Sh","G/SoT","Dist","FK.x","PKatt.y","xG.y","npxG.y","npxG/Sh","G-xG","np:G-xG","Cmp%","TotDist.x","PrgDist.x","Cmp.1","Att.1","Cmp%.1","Cmp.2","Att.2","Cmp%.2","Cmp.3","Att.3","Cmp%.3","Ast.y","xAG.y","xA","A-xAG","KP","1/3.x","PPA","CrsPA","PrgP.y","Att.y","Live.x","Dead","FK.y","TB","Sw","Crs","TI","CK","In","Out","Str","Cmp.y","Off","Blocks.x","SCA","PassLive","PassDead","TO","Sh.y","Fld","Def","GCA90","PassLive.1","PassDead.1","TO.1","Sh.1","Fld.1","Def.1","Tkl","TklW","Def 3rd.x","Mid 3rd.x","Att 3rd.x","Tkl.1","Att.x.x","Tkl%","Lost","Blocks.y","Sh","Pass","Int","Tkl+Int","Clr","Err","Def Pen","Def 3rd.y","Mid 3rd.y","Att 3rd.y","Att Pen","Live.y","Att.y.y","Succ","Succ%","Tkld","Tkld%","Carries","TotDist.y","PrgDist.y","PrgC.y","1/3.y","CPA","Mis","Dis","Rec","PrgR.y"
"505","Lewis Dunk","ENG",29,"DF",1991,"Brighton","eng Premier League",29,29,2573,28.6,0.1,0.03,0.06,0.03,0.03,0.03,0.06,0.03,0.66,36.8,0.24,0.05,0.14,10.8,0,0,0.05,0.05,0.07,-0.01,-0.01,88.2,1254.4,408.7,16.3,17.8,91.9,35.6,37.7,94.6,7.97,11.8,67.5,0,0.01,0.01,-0.01,0.1,3.04,0.14,0.03,2.9,68.5,65.9,2.41,2.17,0,0.56,0.1,0.21,0,0,0,0,60.3,0.14,0.14,0.7,0.56,0.03,0,0.1,0,0,0.1,0.07,0.03,0,0,0,0,0.35,0.28,0.17,0.17,0,0.17,0.38,45.5,0.21,1.12,0.98,0.14,0.94,1.29,3.95,0.1,9.83,41.3,33.2,2.66,1.29,76.8,0.14,0.14,100,0,0,45.7,207.5,100.1,0.49,0.24,0.07,0.38,0.1,55.1,0.1
"506","Erik Durm","GER",29,"DF",1992,"Eint Frankfurt","de Bundesliga",7,7,474,5.3,0.19,0,0.08,0.19,0,0.19,0.08,0,0.19,0,0,0,0,32.2,0,0,0,0,0.01,0,0,65.8,627.2,218.3,14,16.6,84.1,16.8,23.2,72.4,3.4,10,34,0.19,0.08,0.06,0.11,0.57,2.83,0.75,0.38,4.15,52.5,39.8,12.5,0.38,0,0.19,2.64,12.1,0,0,0,0,34.5,0.19,1.89,1.32,1.13,0.19,0,0,0,0,0.57,0.57,0,0,0,0,0,2.45,1.32,1.13,0.94,0.38,1.89,2.45,76.9,0.57,1.51,0.19,1.32,1.89,4.34,1.32,0,2.45,15.7,34.2,13.6,0.75,63,0.19,0,0,0.19,100,30.6,171.9,88.7,2.64,2.08,0.19,1.13,0.75,31.5,3.77
"507","Hugo Duro","ESP",21,"FW",1999,"Valencia","es La Liga",30,22,1834,20.4,0.15,0.05,0.21,0.39,0.34,0.39,0.2,0.34,1.52,48.4,0.74,0.23,0.47,11.7,0,0,0.17,0.17,0.11,0.17,0.17,69.3,159.2,32.9,7.3,10.3,71,3.58,4.71,76,0.34,0.74,46.7,0.05,0.03,0.04,0.01,0.69,0.59,0.15,0,1.03,19.2,18,1.03,0.05,0,0,0.59,0.15,0,0,0,0,13.3,0.15,0.59,1.67,1.03,0.05,0.15,0.05,0.34,0.05,0.34,0.1,0,0.05,0.05,0.1,0.05,1.23,0.93,0.54,0.64,0.05,0.74,1.86,39.5,1.13,1.18,0.1,1.08,0.2,1.42,0.98,0.05,1.18,4.17,12.3,14.2,2.94,30.5,1.23,0.64,52,0.59,48,16.3,58.6,22.3,0.59,0.74,0.39,2.79,1.57,20.2,4.26
"508","Jean-Kevin Duverne","FRA",24,"DF",1997,"Brest","fr Ligue 1",37,33,3007,33.4,0.03,0,0.1,0.12,0.03,0.12,0.1,0.03,0.36,25,0.09,0.08,0.33,17.1,0,0,0.03,0.03,0.08,0,0,74.4,721.3,322.4,18.7,22.2,84,15.1,19.8,76.2,5.12,9.16,55.9,0.09,0.07,0.06,0.02,0.75,4.52,0.81,0.51,5.06,53.4,44.1,9.19,0.84,0,0.39,2.22,8.35,0,0,0,0,39.7,0.09,0.78,1.74,1.35,0.12,0.15,0,0.06,0.06,0.18,0.15,0,0.03,0,0,0,2.13,1.32,1.29,0.63,0.21,1.26,2.69,46.7,1.44,1.2,0.15,1.05,1.59,3.71,2.75,0,3.77,20.9,31,12.8,0.93,64.4,1.26,0.57,45.2,0.69,54.8,35.1,200.1,110.2,2.28,1.47,0.18,1.38,0.63,36.1,3.2
"509","Paulo Dybala","ARG",27,"FW",1993,"Juventus","it Serie A",29,26,2061,22.9,0.13,0,0.46,0.66,0.39,0.61,0.53,0.44,4.24,37.1,1.57,0.09,0.25,23,0.44,0.09,0.33,0.26,0.06,0.1,0.13,80.2,669.2,138.2,20.7,23.8,87.3,13.1,15.2,85.7,4.63,6.99,66.3,0.22,0.2,0.17,0.02,1.66,3.1,1.18,0.26,4.5,49.7,44.1,5.24,1.27,0.39,1.09,2.88,0.44,1.75,0.52,0.87,0,39.8,0.31,1.18,4.93,3.19,0.52,0.44,0.31,0.35,0.13,0.57,0.44,0.13,0,0,0,0,1.31,0.57,0.31,0.61,0.39,0.35,1.53,22.9,1.18,0.83,0,0.83,0.39,1.7,0.17,0.13,0.22,6.77,30.1,27.4,3.76,63.3,3.45,2.05,59.5,1.4,40.5,39.7,204.9,81.2,2.18,1.83,1.05,3.06,1.22,48,6.77
"510","Edin Džeko","BIH",35,"FW",1986,"Inter","it Serie A",36,27,2469,27.4,0.07,0,0.68,0.69,0.47,0.69,0.68,0.47,3.18,42.5,1.35,0.15,0.35,11.2,0,0,0.54,0.54,0.17,-0.07,-0.07,70.6,340,88.6,11.1,14.3,77.1,6.64,9.12,72.8,2.12,3.28,64.4,0.22,0.14,0.1,0.08,1.39,2.19,1.24,0.26,3.91,29.3,28.2,1.06,0.04,0.07,0.4,1.28,0.07,0,0,0,0,20.7,0.04,1.02,3.36,2.77,0,0.11,0.26,0.18,0.04,0.62,0.51,0,0,0.07,0.04,0,0.51,0.29,0.26,0.15,0.11,0.29,0.91,32,0.62,0.8,0.18,0.62,0.15,0.66,1.28,0,1.79,4.42,18.4,19.1,6.5,41.6,1.5,0.62,41.5,0.88,58.5,22.4,115.6,53.1,1.72,0.95,0.84,2.85,1.13,32.5,7.55
"511","Enzo Ebosse","CMR",22,"DF",1999,"Angers","fr Ligue 1",27,21,1890,21,0.05,0,0.03,0,0,0,0.03,0,0.14,0,0,0,0,17.5,0,0,0,0,0.05,0,0,83.9,790.1,284,17.1,19.4,88.2,20.9,23.4,89.4,4.57,7.1,64.4,0,0.03,0.02,-0.03,0.43,2.14,0.24,0.14,2.62,51.7,48.4,3.24,1.43,0.05,0.24,0.76,1.81,0,0,0,0,43.4,0.05,0.62,1.24,0.86,0,0.05,0,0.29,0.05,0.05,0.05,0,0,0,0,0,1.19,0.67,0.9,0.29,0,0.52,0.9,57.9,0.38,0.9,0.43,0.48,0.71,1.9,2,0,4.1,25.5,30.4,4,0.29,59.3,0.71,0.43,60,0.29,40,40.8,222.7,117.6,1.24,0.71,0,1,0.1,40.2,0.86
"512","Tyronne Ebuehi","NGA",25,"DF",1995,"Venezia","it Serie A",19,12,1138,12.6,0.08,0.08,0.08,0,0,0,0.08,0,0.56,14.3,0.08,0,0,14.1,0,0,0.05,0.05,0.08,-0.05,-0.05,77.5,511,172.5,15.3,17.9,85.8,12.5,15.6,80.2,2.38,3.81,62.5,0,0.03,0.04,-0.03,0.4,1.27,0.71,0.4,2.3,40.2,32.3,7.86,0.4,0,0,2.22,7.46,0,0,0,0,31.1,0,1.59,1.51,1.43,0.08,0,0,0,0,0,0,0,0,0,0,0,2.22,0.95,1.27,0.63,0.32,0.79,1.43,55.6,0.63,1.03,0.24,0.79,1.27,3.49,3.02,0.08,3.97,22.1,17.9,12.5,1.27,52,1.59,0.87,55,0.71,45,23.3,143.2,73.3,2.3,1.59,0.24,1.19,0.4,26.2,4.13
"513","Éderson","BRA",22,"MF",1999,"Salernitana","it Serie A",15,13,1147,12.7,0.39,0,0.24,0.24,0.16,0.24,0.24,0.16,1.65,42.9,0.71,0.1,0.22,18.9,0,0,0.16,0.16,0.1,0,0,80.3,368.6,91,12,13.9,85.9,8.66,9.92,87.3,1.65,2.36,70,0.08,0.08,0.04,0,0.71,2.44,0.47,0,2.68,29.1,28.8,0.24,0.24,0.08,0.71,0.39,0,0,0,0,0,23.4,0.08,1.02,2.44,1.65,0,0,0.16,0.55,0.08,0.16,0.08,0,0,0,0.08,0,2.28,1.42,0.87,1.1,0.31,1.1,2.05,53.8,0.94,0.87,0.16,0.71,1.5,3.78,0.63,0,1.65,9.61,23.1,11.4,2.05,43.1,2.99,1.5,50,1.5,50,26.9,147,74.6,1.97,2.13,0.31,1.89,1.34,27.8,3.07
"514","Odsonne Édouard","FRA",23,"FW",1998,"Crystal Palace","eng Premier League",28,18,1564,17.4,0.23,0,0.43,0.52,0.29,0.46,0.48,0.34,2.24,43.6,0.98,0.13,0.29,13.3,0,0.06,0.37,0.32,0.14,-0.02,-0.03,72,217.5,45.5,12.1,15.2,79.2,4.31,6.03,71.4,0.29,0.4,71.4,0.17,0.11,0.09,0.06,1.21,1.38,0.57,0,2.41,24.7,23.3,1.09,0,0,0,0.4,0.17,0,0,0,0,17.8,0.23,0.75,2.93,1.9,0,0.46,0.52,0,0.06,0.23,0.11,0,0.06,0.06,0,0,0.92,0.57,0.11,0.4,0.4,0.4,1.21,33.3,0.8,1.15,0.29,0.86,0,0.92,1.03,0,1.15,4.08,17.4,18.2,4.71,39,3.85,1.72,44.8,2.13,55.2,21.9,123.2,64.5,2.41,1.38,0.92,3.56,1.55,27.5,6.26
"515","Maximilian Eggestein","GER",24,"MF",1996,"Freiburg","de Bundesliga",31,26,2194,24.4,0.08,0,0.1,0.12,0.04,0.12,0.1,0.04,0.94,26.1,0.25,0.04,0.17,21.8,0,0,0.05,0.05,0.05,0,0,73.2,424.8,137.8,15.9,19.3,82.3,9.51,12.9,73.9,1.72,3.16,54.5,0.08,0.06,0.07,0.02,0.94,3.65,0.86,0.08,4.47,38.6,37.6,0.78,0.53,0.16,0.25,0.45,0.16,0.08,0,0,0,28.3,0.2,1.11,2.05,1.72,0.08,0,0.08,0.08,0.08,0.21,0.2,0,0,0,0,0,1.97,1.15,0.7,1.02,0.25,0.9,2.05,44,1.15,1.43,0.45,0.98,1.23,3.2,1.31,0.04,2.17,9.88,27.1,12.9,1.39,49.5,0.78,0.29,36.8,0.49,63.2,21.3,94.4,49.5,0.94,0.78,0,1.72,0.9,28.2,2.13
"516","Kingsley Ehizibue","NED",26,"DF",1995,"Köln","de Bundesliga",16,6,681,7.6,0.26,0,0.16,0.13,0,0.13,0.16,0,0.79,0,0,0,0,24.9,0,0,0.03,0.03,0.04,-0.03,-0.03,68.1,594.1,261.7,14.5,16.6,87.3,14.1,19.1,73.8,3.82,8.68,43.9,0.13,0.13,0.09,0,1.18,2.5,1.32,0.79,2.89,47.9,37.8,10,0.53,0,0.13,2.24,9.47,0,0,0,0,32.6,0.13,1.58,2.24,1.97,0.13,0.13,0,0,0,0.27,0.26,0,0,0,0,0,4.21,2.37,3.55,0.66,0,1.97,3.16,62.5,1.18,1.71,0.53,1.18,1.18,5.39,3.42,0,3.95,25.7,27.1,11.3,0.53,63.6,1.97,0.66,33.3,1.32,66.7,30.9,167.8,95.7,2.89,1.58,0.26,1.71,0.79,30.9,2.89
"517","Albin Ekdal","SWE",32,"MF",1989,"Sampdoria","it Serie A",26,19,1637,18.2,0.6,0.05,0.07,0.05,0.05,0.05,0.06,0.05,0.77,14.3,0.11,0.07,0.5,15.2,0,0,0.05,0.05,0.06,0.01,0.01,78.8,526.2,157.7,16.4,19.7,83.2,12.4,14.7,84,2.75,4.23,64.9,0,0.02,0.02,-0.02,0.38,2.64,0.27,0,3.41,41,38,2.91,2.8,0.11,0.22,0.11,0.11,0,0,0,0,32.4,0.11,0.77,1.04,0.77,0,0,0.16,0.11,0,0,0,0,0,0,0,0,2.36,1.54,0.93,1.15,0.27,1.43,3.08,46.4,1.65,1.48,0.38,1.1,1.59,3.96,1.37,0,2.8,15.3,30.1,6.92,1.32,51.7,1.26,0.82,65.2,0.44,34.8,25,120.4,50.2,0.55,0.6,0.05,0.71,0.6,28.1,1.1
"518","Hugo Ekitike","FRA",19,"FW",2002,"Reims","fr Ligue 1",24,15,1273,14.1,0.07,0.07,0.45,0.92,0.64,0.85,0.57,0.71,2.06,55.2,1.13,0.31,0.56,14.4,0,0.14,0.46,0.34,0.18,0.25,0.3,70.5,245,29.5,13.3,17.3,76.6,4.47,6.1,73.3,0.57,1.13,50,0.21,0.11,0.07,0.11,1.13,0.43,0.64,0.07,1.28,27.9,26,1.77,0.07,0.07,0.14,0.28,0,0,0,0,0,19.6,0.07,0.92,2.84,1.63,0,0.71,0.21,0.28,0,0.64,0.28,0,0.07,0.14,0.14,0,1.28,0.71,0.57,0.43,0.28,0.28,0.78,36.4,0.5,0.64,0.14,0.5,0.43,1.7,1.06,0,1.42,5.18,19.1,19.4,4.68,42.6,3.33,1.63,48.9,1.7,51.1,25.9,150.4,71.3,2.48,1.99,1.35,4.68,1.56,31.1,6.17
"519","Jurgen Ekkelenkamp","NED",21,"MF",2000,"Hertha BSC","de Bundesliga",21,6,718,8,0.13,0,0.24,0.38,0.38,0.38,0.24,0.38,1.75,28.6,0.5,0.21,0.75,14.6,0,0,0.19,0.19,0.11,0.19,0.19,68.5,274.6,65,12,14.9,80.7,5.63,8.38,67.2,0.88,2,43.8,0,0.05,0.05,-0.05,1,1.5,0.5,0,3,30.1,28.8,1.13,0.13,0.13,0.38,0.38,0.63,0.25,0,0,0,20.6,0.25,1.88,2,1.5,0,0,0.25,0.13,0.13,0,0,0,0,0,0,0,1,0.38,0.25,0.75,0,0.25,0.88,28.6,0.63,1.13,0.25,0.88,0.5,1.5,0.63,0,0.38,5.5,22,15.4,3.25,42.4,1.5,0.75,50,0.75,50,21.3,84.5,39.8,1.13,0.88,0.38,3.38,1.38,27.6,6
"520","Caleb Ekuban","GHA",27,"FW",1994,"Genoa","it Serie A",30,18,1716,19.1,0.1,0,0.31,0.16,0.05,0.16,0.31,0.05,1.99,18.4,0.37,0.03,0.14,14.7,0,0,0.18,0.18,0.09,-0.13,-0.13,68.9,198.7,43.2,10.3,13.5,76.4,3.72,5.08,73.2,0.58,0.89,64.7,0.1,0.13,0.1,-0.02,0.84,0.84,0.52,0.05,1.62,22.6,21.6,0.94,0.05,0.1,0.1,0.68,0.1,0,0,0,0,15.5,0,0.89,1.99,1.47,0,0.16,0.16,0.21,0,0.26,0.16,0,0.1,0,0,0,0.99,0.63,0.1,0.63,0.26,0.37,1.2,30.4,0.84,0.99,0.26,0.73,0.47,1.47,0.31,0,0.84,3.66,17.1,15.7,4.35,36,2.72,1.36,50,1.36,50,20.6,108.7,42.8,1.62,0.89,1.1,3.82,1.99,25.3,6.96
"521","Anthony Elanga","SWE",19,"FW",2002,"Manchester Utd","eng Premier League",21,14,1214,13.5,0,0,0.38,0.3,0.15,0.3,0.37,0.15,1.56,33.3,0.52,0.1,0.29,15.7,0,0,0.19,0.19,0.12,-0.04,-0.04,75.6,317.2,67.4,17,19.6,86.4,5.26,7.19,73.2,0.89,1.56,57.1,0.15,0.18,0.09,-0.03,0.67,0.81,0.59,0.15,1.33,33.3,32.1,1.04,0,0.15,0.07,1.56,1.04,0,0,0,0,25.2,0.15,1.19,1.56,0.89,0,0.15,0.07,0.3,0.15,0.37,0.15,0,0.07,0,0.07,0.07,1.93,1.48,0.89,0.89,0.15,1.11,2.15,51.7,1.04,1.26,0.07,1.19,0.67,2.59,0.52,0,0.81,8.22,15.9,21.9,4.15,45.9,2.3,0.81,35.5,1.48,64.5,26.2,152.8,73.6,2.37,1.78,0.74,2.74,1.11,33.1,8.44
"522","Alberth Elis","HON",25,"FW",1996,"Bordeaux","fr Ligue 1",20,16,1409,15.7,0.13,0,0.45,0.64,0.57,0.64,0.5,0.57,1.91,36.7,0.7,0.3,0.82,13.9,0,0.06,0.41,0.36,0.19,0.16,0.21,59.9,157.6,50.6,7.32,10.3,71,2.99,4.78,62.7,0.64,1.27,50,0.06,0.08,0.08,-0.02,0.96,1.02,0.45,0.19,1.72,19.7,18.6,1.08,0,0,0,1.78,0.32,0,0,0,0,11.8,0,1.08,2.42,1.66,0,0.13,0.06,0.45,0.13,0.13,0.13,0,0,0,0,0,1.21,0.64,0.32,0.32,0.57,0.7,1.59,44,0.89,0.57,0,0.57,0.45,1.66,0.64,0,0.7,4.01,12,17.3,4.84,32.9,2.87,1.02,35.6,1.85,64.4,21.5,145.5,70.1,2.68,1.46,1.15,3.44,1.97,23.8,7.52
"523","Elif Elmas","MKD",21,"FW",1999,"Napoli","it Serie A",37,12,1620,18,0.17,0,0.23,0.39,0.17,0.39,0.23,0.17,1.83,33.3,0.61,0.09,0.27,18.3,0,0,0.13,0.13,0.07,0.04,0.04,86.3,496.8,104.6,26.3,28.6,92,8.89,10,88.9,1.56,2.5,62.2,0.22,0.1,0.09,0.12,1.33,3,0.94,0,2.94,45.4,43.6,1.56,0.28,0.17,0.11,0.56,0.39,0.5,0.22,0.06,0,39.2,0.28,0.94,3.28,2.33,0.11,0.28,0.22,0.17,0.17,0.5,0.33,0.06,0,0,0.06,0.06,1.39,0.83,0.56,0.56,0.28,0.67,1.56,42.9,0.89,0.72,0.11,0.61,0.44,1.83,0.94,0,1.5,6.39,28.4,20.6,2.78,54.8,1.94,1.33,68.6,0.61,31.4,37.2,220.4,108.3,3.28,2.5,1.06,1.28,1.28,44.7,5.33
"524","Mohamed Elneny","EGY",29,"MF",1992,"Arsenal","eng Premier League",14,8,806,9,0.11,0,0.07,0.22,0,0.22,0.07,0,0.89,25,0.22,0,0,26.9,0,0,0.02,0.02,0.02,-0.02,-0.02,93.5,963.2,266.4,27.6,29.2,94.3,26.2,26.9,97.5,3.56,4.33,82.1,0.22,0.04,0.03,0.18,1,6.56,0.22,0,4.78,62.8,61,1.78,1.56,0.11,0,0,0,0,0,0,0,58.7,0,0.67,1.89,1.67,0.11,0,0.11,0,0,0.33,0.33,0,0,0,0,0,1.78,0.89,1.11,0.56,0.11,0.78,1.33,58.3,0.56,0.78,0.11,0.67,1.56,3.33,1.44,0,3.67,16.1,43.4,10.8,0.33,70,0.11,0,0,0.11,100,40.6,167.6,79.2,0.56,0.44,0.11,0.44,0.33,51.9,0.22
"525","Aritz Elustondo","ESP",27,"DF",1994,"Real Sociedad","es La Liga",30,22,2105,23.4,0.13,0.04,0.07,0.21,0.17,0.21,0.07,0.17,0.6,50,0.3,0.29,0.57,13.7,0,0,0.07,0.07,0.12,0.1,0.1,83.5,822.5,304.1,14.5,16.5,87.8,22.4,25.1,89.3,4.79,7.69,62.2,0.04,0,0.02,0.04,0.04,2.86,0.09,0,3.63,50.6,47.3,3.25,1.45,0.04,0.34,0.21,1.79,0,0,0,0,42.3,0.04,0.38,0.43,0.34,0,0,0.04,0.04,0,0.04,0.04,0,0,0,0,0,0.9,0.6,0.68,0.21,0,0.43,0.85,50,0.43,0.81,0.56,0.26,1.24,2.14,3.68,0,6.92,29,27.6,3.21,0.6,59.5,0.3,0.26,85.7,0.04,14.3,32.3,191,106.7,0.85,0.6,0,0.47,0.04,35,0.51
"526","Nico Elvedi","SUI",24,"DF",1996,"M'Gladbach","de Bundesliga",28,28,2430,27,0.11,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.48,7.7,0.04,0.08,1,10,0,0,0.04,0.04,0.09,0,0,92.1,1111.9,363.6,19.7,21.5,91.4,34.7,36.3,95.8,4.59,5.67,81,0,0,0.01,0,0.15,1.41,0.04,0,2.7,65,61.7,3.22,2.81,0,0.15,0,0.19,0,0,0,0,59.8,0.04,0.41,0.56,0.44,0,0.04,0.04,0,0.04,0.07,0.07,0,0,0,0,0,1.48,0.89,0.85,0.63,0,0.81,1.33,61.1,0.52,1.22,0.81,0.41,1.26,2.74,3.07,0.04,7.56,39.8,32.9,1.52,0.85,73.8,0.26,0.22,85.7,0.04,14.3,43.6,198,102.7,0.48,0.3,0,0.33,0.22,49,0.11
"527","Sepe Elye Wahi","FRA",18,"FW",2003,"Montpellier","fr Ligue 1",33,21,1786,19.8,0.1,0,0.44,0.55,0.5,0.55,0.45,0.51,2.17,46.5,1.01,0.23,0.5,12.9,0,0,0.39,0.39,0.18,0.11,0.11,64.5,96.7,21,4.85,6.67,72.7,1.82,2.88,63.2,0.2,0.66,30.8,0.05,0.05,0.03,0.01,0.66,0.45,0.25,0.05,0.61,12.4,11.7,0.56,0,0,0,0.56,0.05,0,0,0,0,7.98,0.1,0.51,1.21,0.76,0,0,0.1,0.35,0,0.26,0.2,0,0,0,0.05,0,0.91,0.51,0.45,0.3,0.15,0.3,0.81,37.5,0.51,0.35,0,0.35,0.2,1.11,0.2,0,0.3,3.13,6.82,12,3.99,21.6,1.21,0.45,37.5,0.76,62.5,13.6,67.5,30.8,1.21,0.61,0.71,2.68,0.76,14.9,5.05
"528","Mohamed Elyounoussi","NOR",26,"MF",1994,"Southampton","eng Premier League",30,23,2042,22.7,0.18,0,0.34,0.26,0.18,0.26,0.34,0.18,1.89,39.5,0.75,0.09,0.24,14.7,0,0,0.24,0.24,0.14,-0.07,-0.07,67.7,258.3,60.7,12.3,16.2,76,5.2,7.4,70.2,0.66,1.67,39.5,0.09,0.1,0.09,-0.01,1.23,1.72,0.84,0.13,3.57,28.1,27.7,0.26,0.04,0.22,0.04,1.28,0.09,0.04,0,0,0,19,0.13,1.06,2.51,1.85,0,0.22,0.26,0.13,0.04,0.26,0.13,0,0,0.13,0,0,1.59,0.75,0.62,0.66,0.31,0.48,1.72,28.2,1.23,1.01,0.09,0.93,0.53,2.11,1.23,0,1.63,5.86,16.3,19.5,3.7,41.1,1.98,1.23,62.2,0.75,37.8,21.4,142.7,66.7,2.6,2.29,0.57,2.78,1.67,26.2,5.46
"529","Adri Embarba","ESP",29,"FW",1992,"Espanyol","es La Liga",32,24,1986,22.1,0.18,0,0.24,0.09,0,0.09,0.24,0,2.22,32.7,0.73,0,0,23.1,0.68,0,0.13,0.13,0.06,-0.13,-0.13,60.6,344.2,104.1,11.5,14.5,79.7,6.24,10,62.4,2.35,7.29,32.3,0.09,0.11,0.14,-0.02,1.67,0.9,1,0.5,2.44,35.4,28.1,6.97,1.72,0,0.27,8.69,0.32,4.93,1.72,1.95,0.05,21.4,0.32,0.9,4.16,1.99,1.18,0.41,0.23,0.27,0.09,0.27,0.09,0.14,0,0.05,0,0,1.99,1.31,1,0.68,0.32,1.18,3.12,37.7,1.95,1.58,0.14,1.45,0.86,2.85,1.36,0,1.58,8.64,16.4,25.5,2.08,49.7,3.62,1.86,51.3,1.76,48.8,25.4,170.2,81.7,3.39,2.22,0.77,2.53,1.72,28.7,6.06
"530","Breel Embolo","SUI",24,"FW",1997,"M'Gladbach","de Bundesliga",29,24,2166,24.1,0.12,0,0.54,0.5,0.37,0.5,0.57,0.37,1.99,47.9,0.96,0.19,0.39,13.7,0,0,0.35,0.35,0.19,-0.02,-0.02,73.6,214.2,50.8,10.1,12.9,78.2,4.36,5.31,82,0.71,1.08,65.4,0.12,0.2,0.14,-0.07,1.41,1.54,0.87,0,2.66,22.4,20.8,1.49,0.04,0.41,0.08,0.08,0.04,0,0,0,0,16.5,0.12,0.75,3.4,2.49,0,0.12,0.17,0.58,0.04,0.43,0.29,0,0,0.04,0.04,0.04,0.66,0.46,0.04,0.5,0.12,0.12,0.33,37.5,0.21,0.58,0.08,0.5,0.25,0.91,0.29,0,0.62,1.49,17.8,15.7,4.23,34.6,3.15,1.74,55.3,1.41,44.7,21.3,114.6,46.1,1.58,1.45,0.79,3.73,2.49,27.6,6.56
"531","Emerson","BRA",22,"DF",1999,"Tottenham","eng Premier League",31,26,2286,25.4,0.2,0,0.14,0.08,0.04,0.08,0.14,0.04,0.59,26.7,0.16,0.07,0.25,14.6,0,0,0.06,0.06,0.1,-0.02,-0.02,80.7,642.9,159.3,27,30,90,14.5,18.1,80.2,2.05,3.7,55.3,0.04,0.09,0.12,-0.05,1.1,1.26,1.1,0.55,2.68,57.1,47,10,0.63,0.04,0.08,2.91,9.37,0,0,0,0,46.1,0.08,1.85,1.97,1.65,0,0.16,0.08,0.08,0,0.16,0.16,0,0,0,0,0,2.83,1.85,1.97,0.63,0.24,1.42,2.64,53.7,1.22,0.98,0.08,0.91,0.87,3.7,3.62,0.04,3.86,22.8,26.2,20.9,2.2,69.5,1.34,0.67,50,0.67,50,35.9,171,89.6,2.68,1.1,0.31,1.06,0.71,40.1,6.89
"532","Youssef En-Nesyri","MAR",24,"FW",1997,"Sevilla","es La Liga",23,15,1277,14.2,0.07,0,0.47,0.42,0.28,0.35,0.53,0.35,2.54,36.1,0.92,0.11,0.31,11.9,0,0.07,0.45,0.39,0.15,-0.1,-0.11,63.9,124.2,18.5,4.86,6.83,71.1,2.39,3.8,63,0.63,1.13,56.3,0.07,0.08,0.05,-0.01,0.42,0.49,0.21,0,0.99,13.5,12.1,1.13,0,0.07,0.14,0.35,0.07,0,0,0,0,8.59,0.21,0.28,0.77,0.63,0,0,0.07,0.07,0,0.21,0.14,0,0,0,0.07,0,0.7,0.35,0.35,0.14,0.21,0.28,0.77,36.4,0.49,0.63,0.07,0.56,0.28,0.99,1.27,0,1.55,3.45,10.2,9.86,4.08,23.2,0.99,0.28,28.6,0.7,71.4,10,34.6,12,0.49,0.21,0.28,1.76,0.85,15.1,4.01
"533","Wataru Endo","JPN",28,"MF",1993,"Stuttgart","de Bundesliga",33,33,2899,32.2,0.12,0,0.19,0.19,0.12,0.19,0.2,0.12,1.4,35.6,0.5,0.09,0.25,16.3,0,0,0.16,0.15,0.11,-0.03,-0.02,80.1,645.7,193.4,19.4,22.9,84.7,15.9,18.2,87.2,2.98,4.63,64.4,0.06,0.04,0.08,0.02,0.68,3.91,0.43,0.06,5.12,49,48.1,0.68,0.53,0.25,0.25,0.22,0.16,0,0,0,0,39.3,0.28,1.09,1.96,1.61,0,0.06,0.12,0.09,0.06,0.09,0.09,0,0,0,0,0,2.27,1.27,1.06,1.06,0.16,0.96,2.24,43.1,1.27,1.34,0.37,0.96,0.93,3.2,1.99,0,2.98,15.3,35.7,11.1,1.68,61.5,1.68,1.06,63,0.62,37,32.6,141.4,67.9,1.06,0.9,0.19,1.58,1.3,40.1,1.96
"534","Christian Eriksen","DEN",29,"MF",1992,"Brentford","eng Premier League",11,10,939,10.4,0.1,0,0.46,0.48,0.1,0.48,0.46,0.1,2.12,36.4,0.77,0.05,0.13,24.6,0.48,0,0.13,0.13,0.06,-0.03,-0.03,74.8,946.3,361.2,18.6,20.2,91.9,16.4,20.7,79.5,9.81,17.2,57,0.38,0.34,0.27,0.05,2.88,8.08,1.63,0.67,7.88,61.4,50.4,10.7,4.13,0.38,0.77,8.27,0.48,5.19,2.02,2.12,0.38,46,0.38,0.67,5.48,2.5,2.6,0.1,0.1,0.1,0.1,0.67,0.19,0.48,0,0,0,0,1.25,0.58,0.38,0.48,0.38,0.77,1.63,47.1,0.87,0.87,0.1,0.77,0.87,2.12,1.35,0,1.73,13.2,36,22.9,1.15,71.2,1.54,0.77,50,0.77,50,39.3,181.6,100.4,2.02,1.54,0.29,1.73,0.87,45.7,2.12
